from_node,to_node,distance_km,U_food,U_water,origin_tier,origin_air_rating,dest_air_rating,aircraft_type,n_assets,n_sorties_per_window
1,2,386.3,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
1,3,858.6,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
1,4,872.3,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
1,5,250.1,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
1,11,5382.6,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
1,15,5031.1,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
1,16,5410.3,1140832,41087.200000000004,PPL-1,3,2,C17,4,2
1,20,4507.6,1140832,41087.200000000004,PPL-1,3,2,C17,4,2
1,21,5116.0,1140832,41087.200000000004,PPL-1,3,2,C17,4,2
1,22,3682.6,1140832,41087.200000000004,PPL-1,3,2,C17,4,2
1,23,4888.5,1140832,41087.200000000004,PPL-1,3,2,C17,4,2
1,24,3156.2,1140832,41087.200000000004,PPL-1,3,2,C17,4,2
1,25,4211.8,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
1,26,3447.9,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
1,27,2968.7,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
1,28,3207.9,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
1,29,5748.2,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
1,30,5515.7,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
1,31,4226.6,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
1,32,4057.9,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
1,33,4820.7,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
1,34,4305.8,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
1,35,3657.5,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
1,36,4125.6,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
1,37,4383.8,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
1,38,5286.6,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
1,39,3788.3,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
1,40,4965.5,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
1,41,5492.0,1140832,41087.200000000004,PPL-1,3,3,C17,4,2
