from_node,to_node,distance_km,U_food,U_water,weak_land_rating,weak_rail_rating,total_mt_per_day,notes
1,5,250.1,4444800,160080.0,3,3,800,"Tokyo/Yokosuka - Nagoya, Shinkansen + national highway"
5,1,250.1,4444800,160080.0,3,3,800,"Tokyo/Yokosuka - Nagoya, Shinkansen + national highway"
5,2,139.2,4444800,160080.0,3,3,800,"Nagoya - Osaka, Shinkansen + national highway"
2,5,139.2,4444800,160080.0,3,3,800,"Nagoya - Osaka, Shinkansen + national highway"
2,4,486.0,4444800,160080.0,3,3,800,"Osaka - Fukuoka/Sasebo, Shinkansen + national highway"
4,2,486.0,4444800,160080.0,3,3,800,"Osaka - Fukuoka/Sasebo, Shinkansen + national highway"
1,3,858.6,1666800,60030.0,2,2,300,"Tokyo/Yokosuka - Sapporo, rail via Seikan tunnel, reduced capacity"
3,1,858.6,1666800,60030.0,2,2,300,"Tokyo/Yokosuka - Sapporo, rail via Seikan tunnel, reduced capacity"
6,7,713.9,4444800,160080.0,3,3,800,"Sydney - Melbourne, Hume Highway + freight rail"
7,6,713.9,4444800,160080.0,3,3,800,"Sydney - Melbourne, Hume Highway + freight rail"
7,10,654.4,1666800,60030.0,2,2,300,"Melbourne - Adelaide, Western Highway + freight rail"
10,7,654.4,1666800,60030.0,2,2,300,"Melbourne - Adelaide, Western Highway + freight rail"
8,6,730.4,4444800,160080.0,3,3,800,"Brisbane - Sydney, Pacific Highway + freight rail"
6,8,730.4,4444800,160080.0,3,3,800,"Brisbane - Sydney, Pacific Highway + freight rail"
10,11,2608.5,277800,10005.0,1,0,50,"Adelaide - Darwin, Stuart Highway, long route reduced capacity"
11,10,2608.5,277800,10005.0,1,0,50,"Adelaide - Darwin, Stuart Highway, long route reduced capacity"
43,34,741.3,3333600,120060.0,3,2,600,"Bangkok - Ho Chi Minh City, highway network"
34,43,741.3,3333600,120060.0,3,2,600,"Bangkok - Ho Chi Minh City, highway network"
34,37,202.8,1111200,40020.0,2,1,200,"Ho Chi Minh City - Phnom Penh, highway"
37,34,202.8,1111200,40020.0,2,1,200,"Ho Chi Minh City - Phnom Penh, highway"
37,36,752.0,277800,10005.0,1,1,50,"Phnom Penh - Vientiane, highway"
36,37,752.0,277800,10005.0,1,1,50,"Phnom Penh - Vientiane, highway"
36,35,476.5,277800,10005.0,1,1,50,"Vientiane - Hanoi, highway"
35,36,476.5,277800,10005.0,1,1,50,"Vientiane - Hanoi, highway"
35,39,604.6,1111200,40020.0,2,1,200,"Hanoi - Da Nang, highway + rail"
39,35,604.6,1111200,40020.0,2,1,200,"Hanoi - Da Nang, highway + rail"
39,34,603.3,1111200,40020.0,2,1,200,"Da Nang - Ho Chi Minh City, highway + rail"
34,39,603.3,1111200,40020.0,2,1,200,"Da Nang - Ho Chi Minh City, highway + rail"
43,44,576.4,277800,10005.0,1,0,50,"Bangkok - Yangon, highway"
44,43,576.4,277800,10005.0,1,0,50,"Bangkok - Yangon, highway"
