from_node,to_node,distance_km,U_food,U_water,origin_tier,origin_sea_rating,dest_sea_rating,vessel_type,n_assets
1,2,386.3,16668000,600300.0,PPL-1,3,3,TAKR,2
1,3,858.6,16668000,600300.0,PPL-1,3,3,TAKR,2
1,4,872.3,16668000,600300.0,PPL-1,3,3,TAKR,2
1,5,250.1,16668000,600300.0,PPL-1,3,3,TAKR,2
1,24,3156.2,16668000,600300.0,PPL-1,3,3,TAKR,2
1,27,2968.7,16668000,600300.0,PPL-1,3,3,TAKR,2
1,39,3788.3,16668000,600300.0,PPL-1,3,3,TAKR,2
1,45,2082.0,16668000,600300.0,PPL-1,3,3,TAKR,2
1,46,960.5,16668000,600300.0,PPL-1,3,3,TAKR,2
1,47,2491.3,16668000,600300.0,PPL-1,3,3,TAKR,2
2,1,386.3,2778000,100050.0,PPL-2,3,3,TAKE,1
2,3,1058.0,2778000,100050.0,PPL-2,3,3,TAKE,1
2,4,486.0,2778000,100050.0,PPL-2,3,3,TAKE,1
2,5,139.2,2778000,100050.0,PPL-2,3,3,TAKE,1
2,24,3030.6,2778000,100050.0,PPL-2,3,3,TAKE,1
2,27,2661.4,2778000,100050.0,PPL-2,3,3,TAKE,1
2,39,3416.7,2778000,100050.0,PPL-2,3,3,TAKE,1
2,45,1717.3,2778000,100050.0,PPL-2,3,3,TAKE,1
2,46,589.5,2778000,100050.0,PPL-2,3,3,TAKE,1
2,47,2533.0,2778000,100050.0,PPL-2,3,3,TAKE,1
3,1,858.6,2778000,100050.0,PPL-2,3,3,TAKE,1
3,2,1058.0,2778000,100050.0,PPL-2,3,3,TAKE,1
3,4,1419.7,2778000,100050.0,PPL-2,3,3,TAKE,1
3,5,955.3,2778000,100050.0,PPL-2,3,3,TAKE,1
3,24,4014.6,2778000,100050.0,PPL-2,3,3,TAKE,1
3,27,3707.8,2778000,100050.0,PPL-2,3,3,TAKE,1
3,39,4339.6,2778000,100050.0,PPL-2,3,3,TAKE,1
3,45,2694.8,2778000,100050.0,PPL-2,3,3,TAKE,1
3,46,1373.4,2778000,100050.0,PPL-2,3,3,TAKE,1
3,47,3299.3,2778000,100050.0,PPL-2,3,3,TAKE,1
4,1,872.3,2778000,100050.0,PPL-2,3,3,TAKE,1
4,2,486.0,2778000,100050.0,PPL-2,3,3,TAKE,1
4,3,1419.7,2778000,100050.0,PPL-2,3,3,TAKE,1
4,5,623.6,2778000,100050.0,PPL-2,3,3,TAKE,1
4,24,2936.5,2778000,100050.0,PPL-2,3,3,TAKE,1
4,27,2309.4,2778000,100050.0,PPL-2,3,3,TAKE,1
4,39,2955.3,2778000,100050.0,PPL-2,3,3,TAKE,1
4,45,1278.1,2778000,100050.0,PPL-2,3,3,TAKE,1
4,46,214.4,2778000,100050.0,PPL-2,3,3,TAKE,1
4,47,2665.0,2778000,100050.0,PPL-2,3,3,TAKE,1
5,1,250.1,2778000,100050.0,PPL-2,3,3,TAKE,1
5,2,139.2,2778000,100050.0,PPL-2,3,3,TAKE,1
