country_iso,flood,storm,earthquake,volcanic,mass_movement,wildfire
ASM,0.250000,0.500000,0.250000,0.000000,0.000000,0.000000
AUS,0.403226,0.387097,0.000000,0.000000,0.000000,0.209677
CHN,0.360577,0.349359,0.182692,0.000000,0.099359,0.008013
COK,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
FJI,0.250000,0.750000,0.000000,0.000000,0.000000,0.000000
FSM,0.125000,0.875000,0.000000,0.000000,0.000000,0.000000
GUM,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
HKG,0.111111,0.888889,0.000000,0.000000,0.000000,0.000000
IDN,0.527981,0.024331,0.201946,0.080292,0.150852,0.014599
JPN,0.169697,0.581818,0.187879,0.018182,0.024242,0.018182
KHM,0.724138,0.275862,0.000000,0.000000,0.000000,0.000000
KIR,0.666667,0.333333,0.000000,0.000000,0.000000,0.000000
KOR,0.333333,0.507937,0.031746,0.000000,0.015873,0.111111
LAO,0.633333,0.333333,0.033333,0.000000,0.000000,0.000000
MAC,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
MHL,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000
MMR,0.508475,0.220339,0.084746,0.000000,0.186441,0.000000
MNG,0.478261,0.478261,0.000000,0.000000,0.043478,0.000000
MNP,0.000000,0.833333,0.000000,0.166667,0.000000,0.000000
MYS,0.862500,0.062500,0.025000,0.000000,0.037500,0.012500
NCL,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
NIU,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
NZL,0.447368,0.368421,0.131579,0.026316,0.000000,0.026316
PHL,0.286089,0.551181,0.070866,0.047244,0.044619,0.000000
PLW,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
PNG,0.283019,0.094340,0.226415,0.150943,0.245283,0.000000
PRK,0.733333,0.266667,0.000000,0.000000,0.000000,0.000000
PYF,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000
SLB,0.250000,0.550000,0.200000,0.000000,0.000000,0.000000
THA,0.633333,0.308333,0.033333,0.000000,0.016667,0.008333
TKL,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
TLS,0.625000,0.250000,0.125000,0.000000,0.000000,0.000000
TON,0.000000,0.818182,0.090909,0.090909,0.000000,0.000000
TUV,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
TWN,0.068493,0.794521,0.136986,0.000000,0.000000,0.000000
VNM,0.436548,0.532995,0.000000,0.000000,0.025381,0.005076
VUT,0.076923,0.461538,0.115385,0.346154,0.000000,0.000000
WLF,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
WSM,0.166667,0.666667,0.166667,0.000000,0.000000,0.000000
