scenario_id,objective,shortfall_cost,deficit_cost,aps_locations,num_q_positive,total_flow,status,computational_time,epicenter,severity,num_APS,base_L,redun,def_weight,short_weight,region
0,326728048,0,326728048,"[15, 20, 26, 28, 33]",9,625110259,2,10.18939614,5,4.705990261,5,3,3,1,1,2
1,0,0,0,"[1, 6, 15, 24, 41]",4,26318352,2,9.109514952,10,2.212513348,5,3,3,1,1,2
2,0,0,0,"[1, 3, 14, 24, 41]",6,17204121,2,8.131986856,16,2.985009969,5,3,3,1,1,3
3,0,0,0,"[1, 15, 24, 36, 41]",4,25635998,2,8.960434914,3,1.400941471,5,3,3,1,1,2
4,0,0,0,"[1, 2, 15, 21, 24]",6,91975004,2,8.812367678,33,2.321364398,5,3,3,1,1,1
5,0,0,0,"[15, 21, 26, 28, 34]",9,268466128,2,12.04983282,4,3.091197243,5,3,3,1,1,2
6,0,0,0,"[5, 22, 24, 39, 41]",6,21788334,2,7.723040104,31,2.483842689,5,3,3,1,1,2
7,174479119,0,174479119,"[15, 20, 26, 28, 33]",9,491418102,2,9.450320959,1,3.169638299,5,3,3,1,1,2
8,0,0,0,"[1, 6, 15, 24, 41]",4,29257676,2,8.038790941,9,3.098641902,5,3,3,1,1,2
9,0,0,0,"[1, 15, 22, 23, 41]",4,73513078,2,8.203772068,32,3.922736608,5,3,3,1,1,1
10,0,0,0,"[2, 14, 17, 19, 39]",6,57826870,2,12.52405787,13,4.346310117,5,3,3,1,1,3
11,0,0,0,"[1, 6, 15, 37, 41]",8,9017004,2,8.149307013,13,2.785029086,5,3,3,1,1,3
12,0,0,0,"[2, 14, 19, 40, 41]",4,18903262,2,9.350111008,22,1.48300025,5,3,3,1,1,3
13,0,0,0,"[1, 2, 6, 15, 41]",8,32818574,2,7.880452156,34,1.447701595,5,3,3,1,1,1
14,0,0,0,"[1, 6, 15, 23, 41]",4,21706510,2,8.251486063,11,2.755428553,5,3,3,1,1,3
15,0,0,0,"[1, 15, 22, 26, 36]",4,53351340,2,9.704360008,28,1.197329012,5,3,3,1,1,1
16,0,0,0,"[2, 6, 14, 15, 22]",7,137412506,2,9.691713095,3,3.222211163,5,3,3,1,1,2
17,0,0,0,"[5, 11, 14, 39, 41]",9,14473324,2,8.437471867,15,1.653073295,5,3,3,1,1,3
18,0,0,0,"[1, 6, 15, 39, 41]",8,9056630,2,8.946417809,20,3.913720218,5,3,3,1,1,3
19,0,0,0,"[2, 12, 24, 39, 41]",7,26176886,2,9.191253901,32,1.669928835,5,3,3,1,1,1
20,0,0,0,"[1, 2, 15, 21, 24]",4,19384542,2,10.52131104,20,3.274088191,5,3,3,1,1,3
21,0,0,0,"[1, 15, 21, 39, 41]",4,35093818,2,8.480225801,37,1.32954564,5,3,3,1,1,1
22,0,0,0,"[15, 20, 26, 28, 37]",9,258660774,2,26.87147784,3,3.348375538,5,3,3,1,1,2
23,0,0,0,"[5, 11, 14, 39, 41]",9,14599465,2,8.462872744,15,2.153638671,5,3,3,1,1,3
24,0,0,0,"[1, 9, 10, 39, 41]",10,113509775,2,15.21059084,6,1.9760529,5,3,3,1,1,3
25,21559164,0,21559164,"[1, 3, 14, 15, 19]",2,159189298,2,8.112190008,26,4.36540851,5,3,3,1,1,2
26,0,0,0,"[1, 4, 15, 22, 35]",2,27248778,2,8.571075201,19,2.707007727,5,3,3,1,1,3
