scenario_id,objective,shortfall_cost,deficit_cost,aps_locations,num_q_positive,num_initial_inventory,total_flow,status,existing_inventory,initial_inventory,w_full,flow_summary,computational_time,epicenter,severity,num_APS,base_L,redun,def_weight,short_weight
86,0,0,0,"[1, 15, 22, 24]",3,"{(1, 'food'): 27418860.0, (1, 'water'): 15910610.0, (22, 'water'): 8250.0}",111940201,2,"{(1, 'food'): 27418860.0, (1, 'water'): 15910610.0, (22, 'water'): 8250.0}","{(1, 'food'): 27418860.0, (1, 'water'): 15910610.0, (22, 'water'): 8250.0}","{(1, 'food'): 27418860.0, (1, 'water'): 15910610.0, (22, 'water'): 8250.0}","{(1, 14): 10000000.0, (1, 15): 10000000.0, (1, 29): 1860610.0, (1, 40): 9918860.0, (4, 32): 9918860.0, (9, 10): 58227.0, (9, 12): 2360633.0, (10, 12): 2418860.0, (10, 20): 58227.0, (12, 11): 58227.0, (14, 28): 10000000.0, (15, 25): 10000000.0, (20, 11): 58227.0, (25, 9): 2418860.0, (25, 27): 5391750.0, (25, 37): 2189390.0, (27, 22): 5391750.0, (28, 6): 10000000.0, (32, 10): 2418860.0, (32, 35): 7500000.0, (40, 4): 9918860.0}",12.94901896,12,1.430686923,4,3,3,1,1
96,736159400,0,736159400,"[1, 14, 15, 21]",3,"{(1, 'food'): 80984541.0, (1, 'water'): 69449291.0, (21, 'water'): 35250.0}",172348582,2,"{(1, 'food'): 80984541.0, (1, 'water'): 69449291.0, (21, 'water'): 35250.0}","{(1, 'food'): 80984541.0, (1, 'water'): 69449291.0, (21, 'water'): 35250.0}","{(1, 'food'): 80984541.0, (1, 'water'): 69449291.0, (21, 'water'): 35250.0}","{(1, 14): 10000000.0, (1, 24): 5364750.0, (1, 29): 4050000.0, (1, 32): 4213272.0, (1, 33): 60000000.0, (1, 34): 13690748.0, (1, 35): 3431502.0, (1, 36): 19952720.0, (1, 37): 6422792.0, (1, 38): 5228624.0, (1, 40): 10579424.0, (14, 17): 10000000.0, (17, 8): 10000000.0, (24, 12): 5364750.0, (32, 5): 4002720.0, (36, 25): 47280.0}",16.06378603,36,4.244230386,4,3,3,100,1
12,0,0,0,"[13, 14, 33, 40, 41]",8,"{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}",66993369,2,"{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(1, 14): 10000000.0, (1, 33): 6893369.0, (14, 1): 6668369.0, (14, 31): 3331631.0, (25, 2): 2843369.0, (31, 22): 3331631.0, (33, 38): 8100000.0, (38, 3): 4050000.0, (38, 40): 4050000.0, (40, 1): 10225000.0, (40, 25): 4050000.0, (41, 22): 3450000.0}",15.08550286,22,1.48300025,5,1,3,100,1
12,0,0,0,"[13, 14, 33, 40, 41]",8,"{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}",66993369,2,"{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(1, 14): 10000000.0, (1, 33): 6893369.0, (14, 1): 6668369.0, (14, 31): 3331631.0, (25, 2): 2843369.0, (31, 22): 3331631.0, (33, 38): 8100000.0, (38, 3): 4050000.0, (38, 40): 4050000.0, (40, 1): 10225000.0, (40, 25): 4050000.0, (41, 22): 3450000.0}",15.25451779,22,1.48300025,5,2,3,100,1
12,0,0,0,"[13, 14, 33, 40, 41]",8,"{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}",66993369,2,"{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(1, 14): 10000000.0, (1, 33): 6893369.0, (14, 1): 6668369.0, (14, 31): 3331631.0, (25, 2): 2843369.0, (31, 22): 3331631.0, (33, 38): 8100000.0, (38, 3): 4050000.0, (38, 40): 4050000.0, (40, 1): 10225000.0, (40, 25): 4050000.0, (41, 22): 3450000.0}",15.29326916,22,1.48300025,5,3,3,100,1
12,0,0,0,"[13, 14, 33, 40, 41]",8,"{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}",66993369,2,"{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(1, 14): 10000000.0, (1, 33): 6893369.0, (14, 1): 6668369.0, (14, 31): 3331631.0, (25, 2): 2843369.0, (31, 22): 3331631.0, (33, 38): 8100000.0, (38, 3): 4050000.0, (38, 40): 4050000.0, (40, 1): 10225000.0, (40, 25): 4050000.0, (41, 22): 3450000.0}",15.20837402,22,1.48300025,5,4,3,100,1
12,0,0,0,"[13, 14, 33, 40, 41]",8,"{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}",66993369,2,"{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(1, 14): 10000000.0, (1, 33): 6893369.0, (14, 1): 6668369.0, (14, 31): 3331631.0, (25, 2): 2843369.0, (31, 22): 3331631.0, (33, 38): 8100000.0, (38, 3): 4050000.0, (38, 40): 4050000.0, (40, 1): 10225000.0, (40, 25): 4050000.0, (41, 22): 3450000.0}",15.10548401,22,1.48300025,5,3,1,100,1
12,0,0,0,"[13, 14, 33, 40, 41]",8,"{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}",66993369,2,"{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(1, 14): 10000000.0, (1, 33): 6893369.0, (14, 1): 6668369.0, (14, 31): 3331631.0, (25, 2): 2843369.0, (31, 22): 3331631.0, (33, 38): 8100000.0, (38, 3): 4050000.0, (38, 40): 4050000.0, (40, 1): 10225000.0, (40, 25): 4050000.0, (41, 22): 3450000.0}",15.15449405,22,1.48300025,5,3,2,100,1
12,0,0,0,"[13, 14, 33, 40, 41]",8,"{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}",66993369,2,"{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(1, 14): 10000000.0, (1, 33): 6893369.0, (14, 1): 6668369.0, (14, 31): 3331631.0, (25, 2): 2843369.0, (31, 22): 3331631.0, (33, 38): 8100000.0, (38, 3): 4050000.0, (38, 40): 4050000.0, (40, 1): 10225000.0, (40, 25): 4050000.0, (41, 22): 3450000.0}",15.08160281,22,1.48300025,5,3,4,100,1
12,0,0,0,"[13, 14, 33, 40, 41]",8,"{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}",66993369,2,"{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(13, 'food'): 250000.0, (14, 'food'): 957500.0, (14, 'water'): 2814131.0, (33, 'food'): 5256631.0, (40, 'food'): 6175000.0, (40, 'water'): 8100000.0, (41, 'food'): 862500.0, (41, 'water'): 2587500.0}","{(1, 14): 10000000.0, (1, 33): 6893369.0, (14, 1): 6668369.0, (14, 31): 3331631.0, (25, 2): 2843369.0, (31, 22): 3331631.0, (33, 38): 8100000.0, (38, 3): 4050000.0, (38, 40): 4050000.0, (40, 1): 10225000.0, (40, 25): 4050000.0, (41, 22): 3450000.0}",15.16186285,22,1.48300025,5,1,3,1000,1
